Row Labels,Count of user_session,Sum of price
glory,4,380.86
goalzero,6,1117
goform,49,3179.27
golf,1,12.88
goliath,5,130.32
gonher,1,25.71
goo.n,26,418.15
goodgrill,4,192.59
goodloot,36,563.32
goodram,3,250.48
goodride,322,15732.02
goodyear,979,113570.9
google,381,285523.96
gopro,316,133746.46
gorenje,1310,266075.39
gornica,1,43.75
gosh,139,2253.39
go-sport,3,117.39
gourmet,3,61.77
gr,1,288.3
gracecole,12,281.82
graco,18,2727.2
graff,4,212.36
graffiti,29,2105.23
granhel,521,57866.26
granicom,11,683.66
gran-stone,79,5441.85
grape,83,3544.67
graphite,23,2516.77
graphiteleader,4,760.28
gree,100,39225
greenbike,40,47003.74
greenland,1,10.77
greenpan,2,120.16
greenpro,12,1186.34
greentek,52,1330.94
greentree,15,1930.2
greenway,21,1320.82
greenworks,2,1286.16
greta,125,19132.74
gretsch,15,7126.71
greyder,674,61523.4
greys,4,557.02
grillver,83,14136.69
grinda,2,364.6
grizzly,2,153.58
grohe,126,71041.56
gross,92,7234.01
grow-with-me,56,2003.67
gt,30,12525.43
guangwei,32,419.91
gucci,201,26470.52
guerisson,16,228.84
guerlain,81,9664.41
gulliver,164,3929.07
gutrend,1,166
guzzini,5,86.76
gys,2,286.76
habilead,239,14481.73
hada,1,24.32
haday,2,56.62
haier,4613,1511118.7
hairdorables,1,28.29
haken,4,71.32
halei,25,356.49
halmar,28,8011.37
hama,5,90.84
hammer,30,1293.72
handwers,50,1335.15
hangzhoujindingimportexportcoltd,1,27.34
hankook,529,47895.7
hanlu,1,18.02
hanma,25,8623.25
hanowa,30,5516.23
hansa,2237,638573.9
hap-p-kid,5,337.3
harleybaby,1,280.32
harley-davidson,174,40937.55
haro,74,23534.97
harp,4,3693.28
harper,875,40705.86
harpercollins,1,13.51
hartan,5,9009.1
hartung,1,372.31
hasbro,341,12646.2
hauck,6,1280.35
hausmann,95,2194.54
havit,35,1664.87
hb,113,3832.28
head,41,4691.41
headrush,1,359.87
heco,1,505.02
heinola,1,118.41
heinz,1,1.08
helfer,18,1559.93
helios,11,741.43
hellion,4,239.4
helvetia,70,82929.6
helvi,4,715.15
henglei,6,217.83
hercules,1,54.06
herman,2,1510.37
hermes,8,1364.52
hertz,537,92131.81
heyner,41,4069.57
hgst,1,138.97
hifiman,3,580.02
hifly,335,20453.29
higashi,7,1133.77
hilo,44,1850.56
hilti,8,2166.24
hintek,3,310.72
hiper,104,2621.07
hisense,174,110948.23
hitachi,128,92249.38
hitechnic,18,554.95
hobot,24,12905.63
hoco,375,6208.77
hola,1,26.13
holder,19,335.78
holiday,26,4080.25
homage,9,979.44
homeart,27,334.78
homy,17,472.6
honda,35,59100.65
honor,2188,600148.42
hoover,115,12265.39
hori,7,1027.08
horizont,432,68176.85
hotmom,7,2809.62
hotner,3,1873.41
hotpoint-ariston,305,113005.33
hottek,17,267.64
housefit,515,158012.89
household,2,123.56
hp,7534,3714160.39
hpe,11,8010.34
hq,5,192.92
hre,2,1441.48
htc,125,29724.7
huanger,52,1416.74
huawang,5,17.49
huawei,27610,7311606.73
hubeiindustrialaimiletrading,1,87.52
hubert,546,273189.02
huggies,253,3197.52
huile,12,328.65
huion,162,31254.97
humana,16,117.48
hummer,1,27.71
humminbird,16,12181.55
hunter,3,103.4
huntkey,87,8697.46
huntsman,2,53.1
husky,4,1212.65
husqvarna,16,6747.54
huter,2013,376653.99
hycell,10,145.23
hygge,126,80563.44
hyper,7,539.11
hyperx,466,44661.79
hyundai,327,47707.73
ibaby,20,2731.9
i-baby,24,657.21
ibanez,11,3658.77
ibili,13,265.58
ibox,968,76781.9
iconbit,4,37.08
id-cooling,107,4179.62
iddis,12,909.13
ideal,7,53.9
iek,4,37.64
ifree,3,710.43
iiyama,31,6486.81
ikea,509,10688.21
ikkm,1,398.98
ilife,55,14310.54
illumico,16,1114.96
imax,6,356.54
imetec,4,123.45
imperia,216,211224.24
imperial,835,390277.8
impex,5,755.24
imx,140,35687.72
incanto,588,99303.45
incar,57,8213.69
indesit,7158,1833845.81
indiana,4,201.8
indigo,9,855.98
infinity,109,11101.39
infinitynado,1,62.55
info,22,4583.84
ingersoll,3,327.93
inglesina,52,17417.92
inhouse,89,1412.3
inkax,49,243.6
inmotion,2,1239.16
inoi,512,24599.65
insight,3,43.76
insinse,5,143.11
inspector,93,18599.16
instyle,1,3.6
intego,122,14081.94
intel,783,285822.88
interbaget,3,97.68
internedoors,45,7675.25
interos,2,133.51
intex,552,62011.16
intro,38,520.15
ipipoo,5,109.4
ipower,9,45.73
iqmarketing,2,74.08
irbis,430,34312.01
irest,3,285.63
irit,2,65.42
iriver,3,522.42
irobot,148,113006.27
isntree,17,337.72
italtrike,3,204.63
iunik,1,18.53
ivaru,2,200.28
ivt,153,4827.2
iwalk,80,1477.03
jabra,85,5871.92
jack,13,7960.13
jackson,13,3964.33
jade,128,56327.37
jaguar,608,106025.24
jakkspacific,1,102.96
janome,2660,767556.09
jarko,1,19.59
jasic,15,8207.44
jasmine,27,1056.85
jata,9,676.44
jawbone,7,879.58
jazwares,2,27.74
jb,12,99.6
jbl,3454,292566.16
jeep,9,1712.01
jeepwrangler,1,126.13
jet,275,8686.43
jetair,19,3769.9
jetem,19,6671.48
jetpik,59,9543.1
jiaxingharleybabycar,8,1619.62
jigott,4,19
jika,7,946.78
jinga,248,9290.51
jinjianfeng,7,243.25
jinyu,5,1264.51
jio,1,37.58
jjrc,3,130.5
jkexer,17,15187.92
joby,4,78.16
jocelyn,1,3.77
jockey,51,4740.42
joe,3,597.69
joerex,32,561.22
joie,686,113127.96
jonnesway,143,42676.73
jordan,546,75012.48
joyor,24,14069.36
joyroad,99,4079.62
joyroom,35,440.93
